ID,Site,ClosestWS,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LnCount3.5
142,Kforest,Waterfall,45,7/3/2017,18:13,7/3/2017 18:13,7/3/2017,21:32,7/3/2017 21:32,0.138194444,3.32,4,4.21686747,1.65189712
143,Waterfall up,Waterfall,45,7/3/2017,18:23,7/3/2017 18:23,7/3/2017,21:47,7/3/2017 21:47,0.141666667,3.4,0,0,0
144,Waterfall,Waterfall,45,7/3/2017,18:33,7/3/2017 18:33,7/3/2017,21:49,7/3/2017 21:49,0.136111111,3.27,2,2.140672783,1.144437039
145,Seatomato,Waterfall,45,7/3/2017,18:43,7/3/2017 18:43,7/3/2017,21:59,7/3/2017 21:59,0.136111111,3.27,0,0,0
146,Camp,Waterfall,45,7/3/2017,19:30,7/3/2017 19:30,7/3/2017,23:00,7/3/2017 23:00,0.145833333,3.5,0,0,0
147,Bunny Hill,Vulgaris,45,7/3/2017,18:56,7/3/2017 18:56,7/3/2017,22:16,7/3/2017 22:16,0.138888889,3.33,19,19.96996997,3.043091413
148,VV2,Vulgaris,45,7/3/2017,19:05,7/3/2017 19:05,7/3/2017,22:28,7/3/2017 22:28,0.140972222,3.38,0,0,0
149,VV1,Vulgaris,45,7/3/2017,19:10,7/3/2017 19:10,7/3/2017,22:33,7/3/2017 22:33,0.140972222,3.38,0,0,0
150,Moz valley,Vulgaris,45,7/3/2017,19:16,7/3/2017 19:16,7/3/2017,22:41,7/3/2017 22:41,0.142361111,3.42,21,21.49122807,3.11312537
151,Moz valley,Vulgaris,46,7/5/2017,17:38,7/5/2017 17:38,7/5/2017,20:49,7/5/2017 20:49,0.132638889,3.18,0,0,0
152,VV2,Vulgaris,46,7/5/2017,17:48,7/5/2017 17:48,7/5/2017,20:56,7/5/2017 20:56,0.130555556,3.13,0,0,0
153,VV1,Vulgaris,46,7/5/2017,17:52,7/5/2017 17:52,7/5/2017,21:01,7/5/2017 21:01,0.13125,3.15,0,0,0
154,Bunny Hill,Vulgaris,46,7/5/2017,17:57,7/5/2017 17:57,7/5/2017,21:08,7/5/2017 21:08,0.132638889,3.18,0,0,0
155,Camp,Waterfall,46,7/5/2017,18:11,7/5/2017 18:11,7/5/2017,21:22,7/5/2017 21:22,0.132638889,3.18,0,0,0
156,Seatomato,Waterfall,46,7/5/2017,18:20,7/5/2017 18:20,7/5/2017,21:29,7/5/2017 21:29,0.13125,3.15,5,5.555555556,1.880312867
157,Waterfall,Waterfall,46,7/5/2017,18:33,7/5/2017 18:33,7/5/2017,21:41,7/5/2017 21:41,0.130555556,3.13,0,0,0
158,Waterfall up,Waterfall,46,7/5/2017,18:42,7/5/2017 18:42,7/5/2017,21:52,7/5/2017 21:52,0.131944444,3.17,0,0,0
159,Kforest,Waterfall,46,7/5/2017,18:53,7/5/2017 18:53,7/5/2017,22:00,7/5/2017 22:00,0.129861111,3.12,21,23.55769231,3.201025137
160,Golf,Waterfall,46,7/5/2017,18:58,7/5/2017 18:58,7/5/2017,22:08,7/5/2017 22:08,0.131944444,3.17,4,4.416403785,1.689432087
161,Oil,Airport,46,7/5/2017,19:04,7/5/2017 19:04,7/5/2017,22:23,7/5/2017 22:23,0.138194444,3.32,5,5.271084337,1.83594928
162,KISS,Airport,46,7/5/2017,19:10,7/5/2017 19:10,7/5/2017,22:30,7/5/2017 22:30,0.138888889,3.33,0,0,0
163,KISS,Airport,47,7/6/2017,17:35,7/6/2017 17:35,7/6/2017,20:46,7/6/2017 20:46,0.132638889,3.18,160,176.1006289,5.176718096
164,Oil,Airport,47,7/6/2017,17:42,7/6/2017 17:42,7/6/2017,20:52,7/6/2017 20:52,0.131944444,3.17,117,129.1798107,4.868916654
165,Golf,Waterfall,47,7/6/2017,17:51,7/6/2017 17:51,7/6/2017,21:05,7/6/2017 21:05,0.134722222,3.23,76,82.35294118,4.423083896
166,Kforest,Waterfall,47,7/6/2017,17:57,7/6/2017 17:57,7/6/2017,21:09,7/6/2017 21:09,0.133333333,3.2,120,131.25,4.884694071
167,Waterfall up,Waterfall,47,7/6/2017,18:08,7/6/2017 18:08,7/6/2017,21:20,7/6/2017 21:20,0.133333333,3.2,88,96.25,4.577284982
