Year,Site,Date,Eggs,Winglength
2012,VV1,6/25/12,92,4.72
2012,VV1,6/25/12,28,4.80
2012,VV1,6/25/12,60,4.80
2012,VV1,6/25/12,50,4.88
2012,VV1,6/25/12,67,4.88
2012,VV1,6/25/12,37,5.28
2012,VV1,6/25/12,46,5.28
2012,VV1,6/25/12,75,5.36
2012,VV1,6/25/12,80,5.36
2012,VV1,6/25/12,43,5.52
2012,VV1,6/25/12,56,5.60
2012,VV1,6/25/12,73,5.76
2012,VV1,6/25/12,35,
2012,VV1,6/25/12,36,
2012,VV1,6/25/12,36,
2012,VV1,6/25/12,36,
2012,VV1,6/25/12,37,
2012,VV1,6/25/12,38,
2012,VV1,6/25/12,39,
2012,VV1,6/25/12,40,
2012,VV1,6/25/12,41,
2012,VV1,6/25/12,42,
2012,VV1,6/25/12,42,
2012,VV1,6/25/12,42,
2012,VV1,6/25/12,42,
2012,VV1,6/25/12,42,
2012,VV1,6/25/12,43,
2012,VV1,6/25/12,44,
2012,VV1,6/25/12,45,
2012,VV1,6/25/12,47,
2012,VV1,6/25/12,47,
2012,VV1,6/25/12,47,
2012,VV1,6/25/12,47,
2012,VV1,6/25/12,48,
2012,VV1,6/25/12,48,
2012,VV1,6/25/12,50,
2012,VV1,6/25/12,50,
2012,VV1,6/25/12,50,
2012,VV1,6/25/12,50,
2012,VV1,6/25/12,51,
2012,VV1,6/25/12,52,
2012,VV1,6/25/12,52,
2012,VV1,6/25/12,53,
2012,VV1,6/25/12,56,
2012,VV1,6/25/12,57,
2012,VV1,6/25/12,57,
2012,VV1,6/25/12,57,
2012,VV1,6/25/12,59,
2012,VV1,6/25/12,60,
2012,VV1,6/25/12,62,
2012,VV1,6/25/12,63,
2012,VV1,6/25/12,65,
2012,VV1,6/25/12,68,
2012,VV1,6/25/12,69,
2012,VV1,6/25/12,69,
2012,VV1,6/25/12,69,
2012,VV1,6/25/12,73,
2012,VV1,6/25/12,75,
2012,VV1,6/25/12,77,
2012,VV1,6/25/12,77,
2012,VV1,6/25/12,80,
2012,VV1,6/25/12,84,
2012,VV1,6/25/12,12,
2012,VV1,6/25/12,16,
2012,VV1,6/25/12,21,
2012,VV1,6/25/12,22,
2012,VV1,6/25/12,23,
2012,VV1,6/25/12,23,
2012,VV1,6/25/12,24,
2012,VV1,6/25/12,25,
2012,VV1,6/25/12,28,
2012,VV1,6/25/12,29,
2012,VV1,6/25/12,29,
2012,VV1,6/25/12,29,
2012,VV1,6/25/12,30,
2012,VV1,6/25/12,30,
2012,VV1,6/25/12,33,
2012,VV1,6/25/12,34,
2017,Oil,6/16/2017,62,4
2017,Golf,6/18/2017,64,4.2
2017,Waterfall,6/23/2017,45,3.65
2017,Golf,6/24/2017,20,3.1
2017,Golf,6/24/2017,3,3.5
2017,Golf,6/24/2017,47,3.95
2017,Golf,6/24/2017,54,4.6
2017,Kforest,6/24/2017,82,4
2017,Golf,6/30/2017,28,2.5
2017,Golf,6/30/2017,18,3.1
2017,Golf,6/30/2017,35,3.5
2017,Golf,6/30/2017,44,3.6
2017,Golf,6/30/2017,4,3.95
2017,Golf,6/30/2017,34,4.05
2017,Golf,6/30/2017,29,4.1
2017,Golf,6/30/2017,55,4.6
2017,Golf,6/30/2017,10,
2017,Moz vallley,6/30/2017,31,3.25
2017,Moz vallley,6/30/2017,40,3.35
2017,Oil,6/30/2017,27,3.1
2017,Oil,6/30/2017,57,4.15
2017,Golf,7/6/2017,25,3.5
2017,Golf,7/6/2017,52,4.25
2017,Golf,7/6/2017,28,4.5
2017,Oil,7/6/2017,28,3.1
2017,Oil,7/6/2017,12,3.25
2017,Oil,7/6/2017,15,3.25
2017,Oil,7/6/2017,15,3.5
2017,Oil,7/6/2017,33,3.7
2017,Oil,7/6/2017,51,4.75
2017,Bunny hill,7/10/2017,36,3.15
2017,Golf,7/10/2017,42,3.95
2017,Oil,7/10/2017,4,4.25
